Date,Location,Excellent,Very_Good,Average,Poor,Terrible
2021-09-22,Downtown,"3,116",99,9,3,0
2021-09-22,Houston Galleria,60,1,0,0,0
2021-09-22,Berry Hill,"4,292",145,11,6,6
2021-09-22,Orlando,"6,011",226,20,7,4
2021-09-22,Pigeon Forge,"3,820",145,11,7,5
2021-09-22,Austin,"3,646",139,19,7,5
2021-09-22,Chicago,"2,660",86,7,3,0
2021-09-22,Dallas,"1,401",26,3,1,1
2021-09-22,Minneapolis,"2,011",81,14,5,2
2021-09-22,Houston,"1,405",29,6,0,0
2021-09-22,Opry Mills,616,15,2,1,1
2021-09-22,Cincinnati,322,8,2,0,0
2021-09-22,Jacksonville,343,11,3,1,0
2021-09-22,Atlanta,365,9,0,1,0
2021-09-22,New Orleans,343,9,2,2,0
2021-09-22,San Francisco,298,5,1,1,0
2021-09-22,New York City,264,5,1,0,0
2021-09-22,King of Prussia,149,0,0,0,1
2021-09-22,Las Vegas,219,3,0,0,0
2021-09-22,Irvine,46,0,0,0,0
2021-09-23,Downtown,"3,116",99,9,3,0
2021-09-23,Houston Galleria,63,1,0,0,1
2021-09-23,Berry Hill,"4,292",145,11,6,6
2021-09-23,Orlando,"6,011",226,20,7,4
2021-09-23,Pigeon Forge,"3,823",145,11,7,5
2021-09-23,Austin,"3,646",139,19,7,5
2021-09-23,Chicago,"2,660",86,7,3,0
2021-09-23,Dallas,"1,401",26,3,1,1
2021-09-23,Minneapolis,"2,011",81,14,5,2
2021-09-23,Houston,"1,405",29,6,0,0
2021-09-23,Opry Mills,616,15,2,1,1
2021-09-23,Cincinnati,325,8,2,0,0
2021-09-23,Jacksonville,343,11,3,1,0
2021-09-23,Atlanta,365,9,0,1,0
2021-09-23,New Orleans,343,9,2,2,0
2021-09-23,San Francisco,298,5,1,1,0
2021-09-23,New York City,264,5,1,0,0
2021-09-23,King of Prussia,149,0,0,0,1
2021-09-23,Las Vegas,219,3,0,0,0
2021-09-23,Irvine,46,0,0,0,0
2021-09-24,Downtown,"3,116",99,9,3,0
2021-09-24,Houston Galleria,69,1,0,0,1
2021-09-24,Berry Hill,"4,292",145,11,6,6
2021-09-24,Orlando,"6,011",226,20,7,4
2021-09-24,Pigeon Forge,"3,823",145,11,7,5
2021-09-24,Austin,"3,646",139,19,7,5
2021-09-24,Chicago,"2,660",86,7,3,0
2021-09-24,Dallas,"1,401",26,3,1,1
2021-09-24,Minneapolis,"2,011",81,14,5,2
2021-09-24,Houston,"1,405",29,6,0,0
2021-09-24,Opry Mills,616,15,2,1,1
2021-09-24,Cincinnati,325,8,2,0,0
2021-09-24,Jacksonville,343,11,3,1,0
2021-09-24,Atlanta,365,9,0,1,0
2021-09-24,New Orleans,343,9,2,2,0
2021-09-24,San Francisco,298,5,1,1,0
2021-09-24,New York City,264,5,1,0,0
2021-09-24,King of Prussia,149,0,0,0,1
2021-09-24,Las Vegas,219,3,0,0,0
2021-09-24,Irvine,46,0,0,0,0
2021-09-25,Downtown,"3,116",99,9,3,0
2021-09-25,Houston Galleria,71,1,0,0,1
2021-09-25,Berry Hill,"4,292",145,11,6,6
2021-09-25,Orlando,"6,011",226,20,7,4
2021-09-25,Pigeon Forge,"3,825",145,11,7,5
2021-09-25,Austin,"3,647",139,19,7,5
2021-09-25,Chicago,"2,660",86,7,3,0
2021-09-25,Dallas,"1,401",26,3,1,1
2021-09-25,Minneapolis,"2,011",81,14,5,2
2021-09-25,Houston,"1,405",29,6,0,0
2021-09-25,Opry Mills,616,15,2,1,1
2021-09-25,Cincinnati,325,8,2,0,0
2021-09-25,Jacksonville,343,11,3,1,0
2021-09-25,Atlanta,365,9,0,1,0
2021-09-25,New Orleans,343,9,2,2,0
2021-09-25,San Francisco,298,5,1,1,0
2021-09-25,New York City,264,5,1,0,0
2021-09-25,King of Prussia,149,0,0,0,1
2021-09-25,Las Vegas,219,3,0,0,0
2021-09-25,Irvine,46,0,0,0,0
2021-09-26,Downtown,"3,116",99,9,3,0
2021-09-26,Houston Galleria,72,1,0,0,1
2021-09-26,Berry Hill,"4,292",145,11,6,6
2021-09-26,Orlando,"6,011",226,20,7,4
2021-09-26,Pigeon Forge,"3,825",145,11,7,5
2021-09-26,Austin,"3,648",139,19,7,5
2021-09-26,Chicago,"2,660",86,7,3,0
2021-09-26,Dallas,"1,401",26,3,1,1
2021-09-26,Minneapolis,"2,011",81,14,5,2
2021-09-26,Houston,"1,405",29,6,0,0
2021-09-26,Opry Mills,616,15,2,1,1
2021-09-26,Cincinnati,325,8,2,0,0
2021-09-26,Jacksonville,343,11,3,1,0
2021-09-26,Atlanta,365,9,0,1,0
2021-09-26,New Orleans,343,9,2,2,0
2021-09-26,San Francisco,298,5,1,1,0
2021-09-26,New York City,264,5,1,0,0
2021-09-26,King of Prussia,149,0,0,0,1
2021-09-26,Las Vegas,219,3,0,0,0
2021-09-26,Irvine,46,0,0,0,0
2021-09-27,Downtown,"3,116",99,9,3,0
2021-09-27,Houston Galleria,73,1,0,0,1
2021-09-27,Berry Hill,"4,292",145,11,6,6
2021-09-27,Orlando,"6,011",226,20,7,4
2021-09-27,Pigeon Forge,"3,825",145,11,7,5
2021-09-27,Austin,"3,648",139,19,7,5
2021-09-27,Chicago,"2,660",86,7,3,0
2021-09-27,Dallas,"1,401",26,3,1,1
2021-09-27,Minneapolis,"2,011",81,14,5,2
2021-09-27,Houston,"1,405",29,6,0,0
2021-09-27,Opry Mills,616,15,2,1,1
2021-09-27,Cincinnati,325,8,2,0,0
2021-09-27,Jacksonville,343,11,3,1,0
2021-09-27,Atlanta,365,9,0,1,0
2021-09-27,New Orleans,343,9,2,2,0
2021-09-27,San Francisco,298,5,1,1,0
2021-09-27,New York City,264,5,1,0,0
2021-09-27,King of Prussia,149,0,0,0,1
2021-09-27,Las Vegas,219,3,0,0,0
2021-09-27,Irvine,46,0,0,0,0
2021-09-29,Downtown,"3,116",99,9,3,0
2021-09-29,Houston Galleria,74,1,0,0,1
